;svs_x;epoch;ele;azi;PhaseL1-L2;codeP2-P1;Vtec
362;G11;10860;72.434;34.032;-1751895.734;1119456.248;
363;G11;10890;72.214;34.298;-1751927.369;1107178.586;
364;G11;10920;71.994;34.56;-1751869.957;1142393.584;
365;G11;10950;71.774;34.82;-1751717.46;1135731.288;
366;G11;10980;71.554;35.076;-1751510.325;1093378.114;
368;G11;11040;71.115;35.582;-1751730.253;1104513.667;
369;G11;11070;70.896;35.831;-1751919.453;1120503.18;
370;G11;11100;70.677;36.078;-1751973.723;1096043.032;
371;G11;11130;70.458;36.322;-1751958.264;1060732.859;
372;G11;11160;70.24;36.565;-1752084.977;1062541.196;
374;G11;11220;69.804;37.043;-1751702.997;1053975.385;
375;G11;11250;69.586;37.28;-1751626.258;1131733.909;
376;G11;11280;69.368;37.514;-1751481.601;1090808.371;
377;G11;11310;69.151;37.747;-1750799.943;1078530.709;
378;G11;11340;68.934;37.977;-1750723.806;1097851.37;
379;G11;11370;68.717;38.207;-1750637.103;1107083.41;
380;G11;11400;68.5;38.434;-1750512.668;1097851.37;
381;G11;11430;68.283;38.651;-1750334.803;1146581.314;
382;G11;11460;68.065;38.866;-1749755.773;1129068.991;
383;G11;11490;67.848;39.08;-1749680.538;1092331.181;
384;G11;11520;67.631;39.292;-1749382.231;1122025.991;
385;G11;11550;67.414;39.504;-1748944.769;1111651.843;
386;G11;11580;67.198;39.714;-1748582.166;1078530.709;
387;G11;11610;66.982;39.923;-1748405.505;1070345.601;
388;G11;11640;66.766;40.131;-1747953.249;1060732.858;
389;G11;11670;66.55;40.338;-1747596.681;1070345.601;
390;G11;11700;66.335;40.544;-1747211.738;1097851.37;
391;G11;11730;66.119;40.75;-1746603.421;1088238.627;
392;G11;11760;65.904;40.954;-1746098.339;1075960.966;
393;G11;11790;65.69;41.157;-1745681.7;1077103.074;
394;G11;11820;65.475;41.359;-1745447.983;1115744.397;
395;G11;11850;65.261;41.561;-1744775.369;1078530.709;
396;G11;11880;65.048;41.762;-1744580.893;1102039.1;
397;G11;11910;64.834;41.962;-1743850.623;1114221.586;
398;G11;11940;64.621;42.161;-1743315.049;1104132.965;
399;G11;11970;64.408;42.36;-1742937.345;1066253.048;
400;G11;12000;64.195;42.557;-1742616.993;1089666.262;
401;G11;12030;63.981;42.746;-1742096.813;1099374.181;
402;G11;12060;63.768;42.935;-1741674.13;1064825.412;
403;G11;12090;63.555;43.122;-1741390.301;1108606.221;
404;G11;12120;63.342;43.31;-1741022.253;1107178.586;
405;G11;12150;63.13;43.497;-1741216.26;1067775.858;
406;G11;12180;62.917;43.683;-1740712.98;1056640.304;
407;G11;12210;62.705;43.869;-1740434.884;1120883.883;
408;G11;12240;62.494;44.055;-1740215.648;1112318.072;
409;G11;12270;62.282;44.24;-1739503.483;1154766.422;
410;G11;12300;62.071;44.425;-1739329.524;1118314.14;
411;G11;12330;61.86;44.609;-1739052.633;1062160.493;
412;G11;12360;61.65;44.793;-1738495.921;1089666.263;
413;G11;12390;61.439;44.977;-1738318.642;1129068.991;
415;G11;12450;61.019;45.343;-1737712.03;1097851.37;
416;G11;12480;60.81;45.526;-1737234.402;1107178.586;
417;G11;12510;60.601;45.708;-1736846.727;1129068.991;
418;G11;12540;60.392;45.89;-1736468.106;1109748.329;
419;G11;12570;60.184;46.071;-1735895.694;1100516.289;
420;G11;12600;59.975;46.253;-1736044.112;1172659.448;
421;G11;12630;59.766;46.427;-1735040.951;1149626.936;
422;G11;12660;59.557;46.601;-1734950.6;1105750.951;
423;G11;12690;59.349;46.774;-1734446.707;1113840.883;
424;G11;12720;59.141;46.948;-1734142.642;1122121.166;
426;G11;12780;58.725;47.295;-1732993.886;1077103.074;
427;G11;12810;58.518;47.468;-1732694.649;1092236.006;
428;G11;12840;58.311;47.641;-1731979.152;1055498.196;
429;G11;12870;58.104;47.814;-1731979.656;1094900.925;
430;G11;12900;57.897;47.986;-1731743.505;1156289.233;
431;G11;12930;57.691;48.159;-1731091.094;1090808.371;
432;G11;12960;57.485;48.332;-1730652.699;1093378.114;
433;G11;12990;57.28;48.504;-1730709.95;1138396.207;
434;G11;13020;57.074;48.677;-1730467.458;1128783.463;
435;G11;13050;56.869;48.849;-1730167.311;1098993.478;
436;G11;13080;56.664;49.021;-1730084.197;1100421.113;
437;G11;13110;56.46;49.193;-1729778.315;1084146.074;
438;G11;13140;56.256;49.365;-1729457.036;1093758.816;
439;G11;13170;56.052;49.537;-1729186.771;1133161.544;
440;G11;13200;55.849;49.709;-1728811.157;1098993.479;
441;G11;13230;55.644;49.874;-1728344.987;1078911.412;
442;G11;13260;55.44;50.04;-1728217.498;1097470.668;
443;G11;13290;55.237;50.205;-1727772.154;1128688.288;
444;G11;13320;55.033;50.371;-1727382.05;1126118.545;
445;G11;13350;54.83;50.537;-1727202.036;1115363.694;
446;G11;13380;54.627;50.702;-1726969.198;1101563.222;
447;G11;13410;54.424;50.868;-1726560.074;1072915.345;
449;G11;13470;54.02;51.2;-1725766.278;1062160.493;
450;G11;13500;53.818;51.365;-1725419.336;1107178.586;
452;G11;13560;53.416;51.697;-1724488.495;1070726.304;
453;G11;13590;53.215;51.863;-1723665.827;1071868.412;
454;G11;13620;53.015;52.029;-1723198.745;1063683.304;
455;G11;13650;52.814;52.195;-1722909.455;1052452.575;
456;G11;13680;52.614;52.361;-1722982.995;1104132.965;
457;G11;13710;52.415;52.527;-1722186.285;1056925.832;
458;G11;13740;52.216;52.693;-1721947.102;1104608.843;
459;G11;13770;52.016;52.859;-1720927.622;1096423.735;
460;G11;13800;51.818;53.025;-1720577.356;1151054.571;
461;G11;13830;51.618;53.186;-1720094.573;1175229.191;
462;G11;13860;51.419;53.347;-1719441.545;1126213.72;
