shao	Sheshan                                      	China                           	121.2004	31.0996	22.0901	JPL                
she2	Shediac                                      	Canada                          	295.448	46.2207	-15.3	NRCan/GSD          
simo	Simonstown                                   	South Africa                    	18.4396	-34.1879	39.491	HRAO               
sio3	La Jolla                                     	USA                             	242.75	32.86	34.88	SIO                
slor	San Lorenzo                                  	Honduras                        	272.5635	13.4239	11.995	IGN-HO             
sni1	San Nicolas Island                           	USA                             	240.48	33.25	239.69	USGS               
sofi	Sofia                                        	Bulgaria                        	23.3947	42.5561	1119.6	BKG                
sola	Solar Village                                	Saudi Arabia                    	46.4006	24.9107	760.1393	JPL                
spk1	Saddle Peak                                  	USA                             	241.35	34.06	440.14	USGS               
spt0	Boras                                        	Sweden                          	12.8913	57.715	219.9	LM                 
ssia	San Salvador                                 	El Salvador                     	270.8838	13.6973	664.4	CNR                
stjo	ST. JOHN'S                                   	CANADA                          	307.3223	47.5952	152.8	NRCan              
stk2	Shintotsukawa                                	Japan                           	141.8448	43.5286	118.54	GSI                
str1	Canberra                                     	Australia                       	149.01	-35.3155	800.0394	GA                 
str2	Canberra                                     	Australia                       	149.0169	-35.5319	799.954	GA                 
sulp	Lviv                                         	Ukraine                         	24.0145	49.8356	370.5	RIGC               
sunm	BRISBANE                                    	AUSTRALIA                       	153.0352	-27.4849	92	  NR&M                       
suth	Sutherland                                   	South Africa                    	20.8105	-32.3802	1799.7659	HRAO               
sutm	Sutherland                                   	South Africa                    	20.8109	-32.3814	1797.6	GFZ Potsdam        
